ID,REGIST_DATETIME,REGIST_USER,UPDATE_DATETIME,UPDATE_USER,TYPE,STATUS,CATEGORY_ID,NAME,ACTUAL_DATE,PLAN_DATE_FROM,PLAN_DATE_TO,AMOUNT,MEMO,ACCOUNT_ID_IN,ACCOUNT_ID_OUT
1,2026-02-15 01:21:00,coara,2026-02-15 01:22:45,coara,expense,plan,13,家探し、内覧、賃貸契約,2026-08-01,2026-08-01,2026-09-30,500000,,,5
2,2026-02-15 01:25:22,coara,2026-02-15 01:25:22,coara,expense,plan,16,引っ越し手続き,2026-09-01,2026-09-01,2026-09-30,200000,賃貸解約、運送業者、ネット解約、会社,,5
3,2026-02-15 01:31:01,coara,2026-02-15 01:31:01,coara,expense,plan,16,引っ越し作業,2026-09-01,2026-09-01,2026-10-31,1,,,5
4,2026-02-15 01:36:45,coara,2026-02-15 01:47:30,coara,expense,plan,7,結婚指輪を作る,2027-01-01,2027-01-01,2027-01-31,200000,,,5
5,2026-02-15 01:43:47,coara,2026-02-15 01:48:52,coara,expense,plan,7,旅行先でプロポーズする,2027-04-01,2027-04-01,2027-04-30,50000,場所未定,,5
6,2026-02-15 01:50:30,coara,2026-02-15 01:50:30,coara,expense,plan,7,婚約指輪を作る,2027-01-01,2027-01-01,2027-01-30,200000,製造期間：2か月,,5
7,2026-02-15 01:52:06,coara,2026-02-15 01:52:06,coara,expense,plan,7,婚姻届けを提出する,2027-07-01,2027-07-01,2027-07-31,300,,,5
8,2026-02-15 01:53:59,coara,2026-02-15 01:53:59,coara,expense,plan,7,ウェディングフォトをする,2027-07-01,2027-07-01,2027-07-30,200000,,,5
9,2026-02-15 01:56:35,coara,2026-02-15 01:56:35,coara,expense,plan,7,新婚旅行に行く,2027-09-01,2027-09-01,2027-09-30,500000,,,5
10,2026-02-15 01:59:12,coara,2026-02-15 01:59:12,coara,expense,plan,7,ゲーミングテーブル,2028-01-01,2028-01-01,2028-01-30,25000,,,5
11,2026-02-15 01:59:46,coara,2026-02-15 01:59:46,coara,expense,plan,7,ゲーミングチェア,2028-01-01,2028-01-01,2028-01-30,15000,,,5
12,2026-02-15 02:00:21,coara,2026-02-15 02:00:21,coara,expense,plan,7,装飾品(プレステのネオン),2028-01-01,2028-01-01,2028-01-30,3000,,,5
13,2026-02-15 02:01:03,coara,2026-02-15 02:01:03,coara,expense,plan,7,ダイニングテーブル,2028-01-01,2028-01-01,2028-01-30,50000,,,5
14,2026-02-15 02:01:43,coara,2026-02-15 02:01:43,coara,expense,plan,7,ダイニングチェア,2028-01-01,2028-01-01,2028-01-30,30000,,,5
15,2026-02-15 02:02:11,coara,2026-02-15 02:02:11,coara,expense,plan,7,冷蔵庫,2028-01-01,2028-01-01,2028-01-30,200000,,,5
16,2026-02-15 02:02:58,coara,2026-02-15 02:04:33,coara,expense,plan,9,普通自動運転免許,2028-01-01,2028-01-01,2028-01-30,300000,,,2
17,2026-02-15 02:04:19,coara,2026-02-15 02:04:19,coara,expense,plan,16,子供(1人目)を作る,2029-01-01,2029-01-01,2029-01-31,1,,,5
18,2026-02-15 02:05:06,coara,2026-02-15 02:05:06,coara,expense,plan,16,子供(1人目)を預ける,2029-01-01,2029-01-01,2029-01-31,1,幼稚園、もしくは、保育園,,5
19,2026-02-15 02:05:18,coara,2026-02-15 02:05:18,coara,expense,plan,16,子供(1人目)を小学校に通わせる,2029-01-01,2029-01-01,2029-01-31,1,幼稚園、もしくは、保育園,,5
23,2026-02-15 02:06:19,coara,2026-02-15 02:06:19,coara,expense,plan,16,子供(1人目)を中学校に通わせる,2029-01-01,2029-01-01,2029-01-31,1,幼稚園、もしくは、保育園,,5
24,2026-02-15 02:06:36,coara,2026-02-15 02:06:36,coara,expense,plan,16,子供(1人目)を高校に通わせる,2029-01-01,2029-01-01,2029-01-31,1,幼稚園、もしくは、保育園,,5
25,2026-02-15 02:07:00,coara,2026-02-15 02:07:00,coara,expense,plan,16,子供(2人目)を作る,2029-01-01,2029-01-01,2029-01-31,1,,,5
26,2026-02-15 02:07:12,coara,2026-02-15 02:07:12,coara,expense,plan,16,子供(2人目)を預ける,2029-01-01,2029-01-01,2029-01-31,1,幼稚園、もしくは、保育園,,5
27,2026-02-15 02:07:21,coara,2026-02-15 02:07:21,coara,expense,plan,16,子供(2人目)を小学校に通わせる,2029-01-01,2029-01-01,2029-01-31,1,幼稚園、もしくは、保育園,,5
28,2026-02-15 02:07:37,coara,2026-02-15 02:07:37,coara,expense,plan,16,子供(2人目)を中学校に通わせる,2029-01-01,2029-01-01,2029-01-31,1,幼稚園、もしくは、保育園,,5
29,2026-02-15 02:07:46,coara,2026-02-15 02:07:46,coara,expense,plan,16,子供(2人目)を高校に通わせる,2029-01-01,2029-01-01,2029-01-31,1,幼稚園、もしくは、保育園,,5
